N,Min,Max,Random Number,Steps
50000,1,500000,28001,152
50000,1,500000,1840,37
50000,1,500000,4605,59
50000,1,500000,14681,195
50000,1,500000,15018,27
50000,1,500000,9338,34
50000,1,500000,25072,64
50000,1,500000,11339,130
50000,1,500000,10930,161
50000,1,500000,9736,135
50000,1,500000,25494,82
50000,1,500000,8878,96
50000,1,500000,10955,161
50000,1,500000,31795,54
50000,1,500000,23791,126
50000,1,500000,17746,172
50000,1,500000,4121,64
50000,1,500000,30945,116
50000,1,500000,9311,91
50000,1,500000,27863,165
50000,1,500000,32071,85
50000,1,500000,28257,59
50000,1,500000,21508,74
50000,1,500000,22455,69
50000,1,500000,20600,149
50000,1,500000,13718,63
50000,1,500000,18247,185
50000,1,500000,391,120
50000,1,500000,11649,143
50000,1,500000,24408,157
50000,1,500000,5809,49
50000,1,500000,32633,160
50000,1,500000,30805,54
50000,1,500000,5399,67
50000,1,500000,1537,153
50000,1,500000,1574,60
50000,1,500000,21440,74
50000,1,500000,27841,108
50000,1,500000,6267,62
50000,1,500000,31882,54
50000,1,500000,30809,147
50000,1,500000,13286,107
50000,1,500000,16258,40
50000,1,500000,16464,128
50000,1,500000,30642,41
50000,1,500000,30235,121
50000,1,500000,22377,69
50000,1,500000,32592,54
50000,1,500000,16337,66
50000,1,500000,17052,128
50000,1,500000,26247,139
50000,1,500000,19031,53
50000,1,500000,29412,165
50000,1,500000,30005,178
50000,1,500000,21129,61
50000,1,500000,17702,48
50000,1,500000,26416,139
50000,1,500000,1634,42
50000,1,500000,12,9
50000,1,500000,6077,155
50000,1,500000,25419,56
50000,1,500000,9909,135
50000,1,500000,4204,95
50000,1,500000,1241,39
50000,1,500000,27275,139
50000,1,500000,10616,55
50000,1,500000,12758,81
50000,1,500000,18875,260
50000,1,500000,11710,174
50000,1,500000,660,113
50000,1,500000,13733,151
50000,1,500000,11051,117
50000,1,500000,29723,95
50000,1,500000,23473,144
50000,1,500000,24811,69
50000,1,500000,21437,193
50000,1,500000,4217,56
50000,1,500000,1183,88
50000,1,500000,11085,68
50000,1,500000,26451,152
50000,1,500000,14015,58
50000,1,500000,17140,172
50000,1,500000,24597,157
50000,1,500000,28643,103
50000,1,500000,17820,97
