N,Min,Max,Random Number,Steps
50000,1,500000,15820,146
50000,1,500000,32081,160
50000,1,500000,32469,41
50000,1,500000,29954,209
50000,1,500000,12670,156
50000,1,500000,12661,81
50000,1,500000,6655,168
50000,1,500000,19711,97
50000,1,500000,15447,53
50000,1,500000,10939,99
50000,1,500000,27130,183
50000,1,500000,3563,162
50000,1,500000,14909,71
50000,1,500000,30017,178
50000,1,500000,11000,42
50000,1,500000,8574,127
50000,1,500000,21279,61
50000,1,500000,10766,73
50000,1,500000,8055,70
50000,1,500000,22413,38
50000,1,500000,4487,46
50000,1,500000,31571,178
50000,1,500000,31604,41
50000,1,500000,29815,72
50000,1,500000,18287,185
50000,1,500000,22000,43
50000,1,500000,4059,64
50000,1,500000,32447,152
50000,1,500000,13654,182
50000,1,500000,15418,53
50000,1,500000,19011,123
50000,1,500000,4090,64
50000,1,500000,10131,73
50000,1,500000,15868,53
50000,1,500000,23768,51
50000,1,500000,11500,55
50000,1,500000,32232,98
50000,1,500000,12732,63
50000,1,500000,8856,140
50000,1,500000,26862,139
50000,1,500000,20826,105
50000,1,500000,4927,209
50000,1,500000,5059,72
50000,1,500000,22674,87
50000,1,500000,11328,37
50000,1,500000,11087,205
50000,1,500000,24204,69
50000,1,500000,6026,23
50000,1,500000,2203,50
50000,1,500000,25787,139
50000,1,500000,30741,147
50000,1,500000,26054,46
50000,1,500000,2213,138
50000,1,500000,29344,41
50000,1,500000,14746,133
50000,1,500000,8157,65
50000,1,500000,7597,70
50000,1,500000,11239,60
50000,1,500000,24045,43
50000,1,500000,5806,142
50000,1,500000,4385,139
50000,1,500000,16399,115
50000,1,500000,29474,46
50000,1,500000,2631,190
50000,1,500000,9197,153
50000,1,500000,10540,55
50000,1,500000,5259,103
50000,1,500000,19462,48
50000,1,500000,14339,76
50000,1,500000,32560,160
50000,1,500000,231,127
50000,1,500000,19453,92
50000,1,500000,14395,71
50000,1,500000,4202,33
50000,1,500000,24790,157
50000,1,500000,5531,41
50000,1,500000,12894,76
50000,1,500000,25420,56
50000,1,500000,20880,56
50000,1,500000,32649,129
50000,1,500000,22397,69
50000,1,500000,1393,34
50000,1,500000,2007,42
50000,1,500000,4819,121
50000,1,500000,22152,69
50000,1,500000,19423,61
50000,1,500000,7978,52
50000,1,500000,27976,108
50000,1,500000,17692,79
50000,1,500000,26761,51
50000,1,500000,26940,90
50000,1,500000,8995,47
50000,1,500000,2715,97
50000,1,500000,31000,54
50000,1,500000,20900,87
50000,1,500000,25579,170
50000,1,500000,386,120
50000,1,500000,29418,134
50000,1,500000,10710,99
50000,1,500000,26263,77
50000,1,500000,17143,172
50000,1,500000,4187,64
