N,Min,Max,Random Number,Steps
10000,1,50000,8286,65
10000,1,50000,9716,47
10000,1,50000,24995,157
10000,1,50000,19764,136
10000,1,50000,25301,82
10000,1,50000,15467,84
10000,1,50000,13803,151
10000,1,50000,30098,90
10000,1,50000,13655,182
10000,1,50000,12360,63
10000,1,50000,11623,161
10000,1,50000,22053,100
10000,1,50000,32202,72
10000,1,50000,23213,175
10000,1,50000,23615,82
10000,1,50000,5060,41
10000,1,50000,27061,139
10000,1,50000,7889,101
10000,1,50000,5474,41
10000,1,50000,32756,160
10000,1,50000,26011,64
10000,1,50000,21503,193
10000,1,50000,15480,146
10000,1,50000,29452,134
10000,1,50000,7816,101
10000,1,50000,4322,33
10000,1,50000,29721,147
10000,1,50000,4502,38
10000,1,50000,16873,58
10000,1,50000,15359,239
10000,1,50000,31804,54
10000,1,50000,247,47
10000,1,50000,28576,77
10000,1,50000,1411,34
10000,1,50000,21746,131
10000,1,50000,20307,61
10000,1,50000,4696,121
10000,1,50000,11839,174
10000,1,50000,31060,103
10000,1,50000,4779,77
10000,1,50000,4630,108
10000,1,50000,16369,66
10000,1,50000,18105,40
10000,1,50000,840,41
10000,1,50000,5393,67
10000,1,50000,6853,31
10000,1,50000,25645,51
10000,1,50000,5469,41
10000,1,50000,17092,66
10000,1,50000,31771,129
10000,1,50000,15903,128
10000,1,50000,21992,43
10000,1,50000,15681,53
10000,1,50000,25227,64
10000,1,50000,27226,64
10000,1,50000,3801,30
10000,1,50000,17608,141
10000,1,50000,29478,46
10000,1,50000,2103,94
10000,1,50000,30326,85
10000,1,50000,14744,133
10000,1,50000,17407,110
10000,1,50000,28944,59
10000,1,50000,28158,82
10000,1,50000,28677,77
10000,1,50000,12267,125
10000,1,50000,19703,74
10000,1,50000,5004,28
10000,1,50000,2763,40
10000,1,50000,6020,41
10000,1,50000,24488,51
10000,1,50000,11071,130
10000,1,50000,20386,35
10000,1,50000,13172,138
10000,1,50000,8637,127
10000,1,50000,9112,60
10000,1,50000,10771,148
10000,1,50000,23536,175
10000,1,50000,31265,134
10000,1,50000,14627,120
10000,1,50000,20617,136
10000,1,50000,27010,77
10000,1,50000,11207,68
10000,1,50000,32090,191
10000,1,50000,16299,40
10000,1,50000,4876,134
10000,1,50000,19356,167
10000,1,50000,17606,141
10000,1,50000,32745,191
10000,1,50000,27914,90
10000,1,50000,21178,56
10000,1,50000,16487,97
10000,1,50000,26965,46
10000,1,50000,28183,59
10000,1,50000,8414,109
10000,1,50000,18006,79
10000,1,50000,22965,82
10000,1,50000,7347,163
10000,1,50000,796,121
10000,1,50000,3497,105
10000,1,50000,4310,170
10000,1,50000,19011,123
10000,1,50000,4817,121
10000,1,50000,24983,64
10000,1,50000,10019,91
10000,1,50000,32601,160
10000,1,50000,218,114
10000,1,50000,4061,38
10000,1,50000,21109,149
10000,1,50000,32054,98
10000,1,50000,8451,57
10000,1,50000,5727,80
10000,1,50000,27949,152
10000,1,50000,30861,54
10000,1,50000,18882,105
10000,1,50000,21523,74
10000,1,50000,29569,209
10000,1,50000,29066,72
10000,1,50000,23590,82
10000,1,50000,16667,53
10000,1,50000,27411,152
10000,1,50000,19731,97
10000,1,50000,2058,125
10000,1,50000,29233,46
10000,1,50000,26824,46
10000,1,50000,4942,134
10000,1,50000,8334,114
10000,1,50000,27464,152
10000,1,50000,10455,55
10000,1,50000,30563,33
10000,1,50000,5320,54
10000,1,50000,1392,34
10000,1,50000,27936,152
10000,1,50000,3203,61
10000,1,50000,24758,69
10000,1,50000,27643,152
10000,1,50000,5568,36
10000,1,50000,19497,167
10000,1,50000,2679,27
10000,1,50000,29918,116
10000,1,50000,10210,60
10000,1,50000,20895,255
10000,1,50000,32699,116
10000,1,50000,22618,113
10000,1,50000,14039,45
10000,1,50000,28357,59
10000,1,50000,26489,126
10000,1,50000,3035,154
10000,1,50000,25450,108
10000,1,50000,32270,72
10000,1,50000,15328,58
10000,1,50000,17440,48
